# Renewables.ninja Wind power (Point API) - 56.142, 9.468 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Copenhagen"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""56.14205"""," ""lon"": ""9.4676"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity_onshore,electricity_offshore,,,,,,,,,,
1/1/2019 0:00,1/1/2019 1:00,0.891,0.9132,,,,,,,,,,
1/1/2019 1:00,1/1/2019 2:00,0.911,0.9325,,,,,,,,,,
1/1/2019 2:00,1/1/2019 3:00,0.931,0.9441,,,,,,,,,,
1/1/2019 3:00,1/1/2019 4:00,0.951,0.9613,,,,,,,,,,
1/1/2019 4:00,1/1/2019 5:00,0.964,0.9708,,,,,,,,,,
1/1/2019 5:00,1/1/2019 6:00,0.974,0.9712,,,,,,,,,,
1/1/2019 6:00,1/1/2019 7:00,0.979,0.9728,,,,,,,,,,
1/1/2019 7:00,1/1/2019 8:00,0.982,0.9755,,,,,,,,,,
1/1/2019 8:00,1/1/2019 9:00,0.986,0.9758,,,,,,,,,,
1/1/2019 9:00,1/1/2019 10:00,0.988,0.9778,,,,,,,,,,
1/1/2019 10:00,1/1/2019 11:00,0.99,0.9777,,,,,,,,,,
1/1/2019 11:00,1/1/2019 12:00,0.991,0.9789,,,,,,,,,,
1/1/2019 12:00,1/1/2019 13:00,0.991,0.9807,,,,,,,,,,
1/1/2019 13:00,1/1/2019 14:00,0.991,0.9832,,,,,,,,,,
1/1/2019 14:00,1/1/2019 15:00,0.991,0.9836,,,,,,,,,,
1/1/2019 15:00,1/1/2019 16:00,0.989,0.9818,,,,,,,,,,
1/1/2019 16:00,1/1/2019 17:00,0.979,0.9785,,,,,,,,,,
1/1/2019 17:00,1/1/2019 18:00,0.965,0.9775,,,,,,,,,,
1/1/2019 18:00,1/1/2019 19:00,0.948,0.9766,,,,,,,,,,
1/1/2019 19:00,1/1/2019 20:00,0.935,0.9758,,,,,,,,,,
1/1/2019 20:00,1/1/2019 21:00,0.93,0.9728,,,,,,,,,,
1/1/2019 21:00,1/1/2019 22:00,0.926,0.9754,,,,,,,,,,
1/1/2019 22:00,1/1/2019 23:00,0.926,0.9733,,,,,,,,,,
1/1/2019 23:00,1/2/2019 0:00,0.924,0.9707,,,,,,,,,,
1/2/2019 0:00,1/2/2019 1:00,0.918,0.9718,,,,,,,,,,
1/2/2019 1:00,1/2/2019 2:00,0.91,0.9714,,,,,,,,,,
1/2/2019 2:00,1/2/2019 3:00,0.893,0.967,,,,,,,,,,
1/2/2019 3:00,1/2/2019 4:00,0.881,0.9583,,,,,,,,,,
1/2/2019 4:00,1/2/2019 5:00,0.864,0.9497,,,,,,,,,,
1/2/2019 5:00,1/2/2019 6:00,0.835,0.9364,,,,,,,,,,
1/2/2019 6:00,1/2/2019 7:00,0.788,0.9134,,,,,,,,,,
1/2/2019 7:00,1/2/2019 8:00,0.731,0.8804,,,,,,,,,,
1/2/2019 8:00,1/2/2019 9:00,0.671,0.8411,,,,,,,,,,
1/2/2019 9:00,1/2/2019 10:00,0.538,0.8034,,,,,,,,,,
1/2/2019 10:00,1/2/2019 11:00,0.425,0.7753,,,,,,,,,,
1/2/2019 11:00,1/2/2019 12:00,0.373,0.763,,,,,,,,,,
1/2/2019 12:00,1/2/2019 13:00,0.352,0.7472,,,,,,,,,,
1/2/2019 13:00,1/2/2019 14:00,0.355,0.7321,,,,,,,,,,
1/2/2019 14:00,1/2/2019 15:00,0.376,0.7102,,,,,,,,,,
1/2/2019 15:00,1/2/2019 16:00,0.356,0.6741,,,,,,,,,,
1/2/2019 16:00,1/2/2019 17:00,0.294,0.6124,,,,,,,,,,
1/2/2019 17:00,1/2/2019 18:00,0.227,0.5359,,,,,,,,,,
1/2/2019 18:00,1/2/2019 19:00,0.177,0.4613,,,,,,,,,,
1/2/2019 19:00,1/2/2019 20:00,0.141,0.4005,,,,,,,,,,
