# Renewables.ninja Wind power (Point API) - 64.261, 26.188 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Helsinki, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Helsinki"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""64.26078"""," ""lon"": ""26.18841"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity_onshore,electricity_offshore,,,,,,,,,,
1/1/2019 0:00,1/1/2019 2:00,0.753,0.6748,,,,,,,,,,
1/1/2019 1:00,1/1/2019 3:00,0.713,0.6279,,,,,,,,,,
1/1/2019 2:00,1/1/2019 4:00,0.643,0.5358,,,,,,,,,,
1/1/2019 3:00,1/1/2019 5:00,0.522,0.416,,,,,,,,,,
1/1/2019 4:00,1/1/2019 6:00,0.394,0.2904,,,,,,,,,,
1/1/2019 5:00,1/1/2019 7:00,0.337,0.1287,,,,,,,,,,
1/1/2019 6:00,1/1/2019 8:00,0.268,0.0591,,,,,,,,,,
1/1/2019 7:00,1/1/2019 9:00,0.207,0.0689,,,,,,,,,,
1/1/2019 8:00,1/1/2019 10:00,0.144,0.1443,,,,,,,,,,
1/1/2019 9:00,1/1/2019 11:00,0.101,0.2966,,,,,,,,,,
1/1/2019 10:00,1/1/2019 12:00,0.069,0.4862,,,,,,,,,,
1/1/2019 11:00,1/1/2019 13:00,0.037,0.69,,,,,,,,,,
1/1/2019 12:00,1/1/2019 14:00,0.038,0.8018,,,,,,,,,,
1/1/2019 13:00,1/1/2019 15:00,0.127,0.8728,,,,,,,,,,
1/1/2019 14:00,1/1/2019 16:00,0.236,0.9068,,,,,,,,,,
1/1/2019 15:00,1/1/2019 17:00,0.251,0.9332,,,,,,,,,,
1/1/2019 16:00,1/1/2019 18:00,0.393,0.9428,,,,,,,,,,
1/1/2019 17:00,1/1/2019 19:00,0.669,0.9453,,,,,,,,,,
1/1/2019 18:00,1/1/2019 20:00,0.808,0.9424,,,,,,,,,,
1/1/2019 19:00,1/1/2019 21:00,0.896,0.9319,,,,,,,,,,
1/1/2019 20:00,1/1/2019 22:00,0.909,0.9172,,,,,,,,,,
1/1/2019 21:00,1/1/2019 23:00,0.91,0.8802,,,,,,,,,,
1/1/2019 22:00,1/2/2019 0:00,0.903,0.8346,,,,,,,,,,
1/1/2019 23:00,1/2/2019 1:00,0.907,0.7817,,,,,,,,,,
1/2/2019 0:00,1/2/2019 2:00,0.9,0.7268,,,,,,,,,,
1/2/2019 1:00,1/2/2019 3:00,0.879,0.7069,,,,,,,,,,
1/2/2019 2:00,1/2/2019 4:00,0.845,0.7251,,,,,,,,,,
1/2/2019 3:00,1/2/2019 5:00,0.808,0.7162,,,,,,,,,,
1/2/2019 4:00,1/2/2019 6:00,0.75,0.6954,,,,,,,,,,
1/2/2019 5:00,1/2/2019 7:00,0.686,0.6902,,,,,,,,,,
1/2/2019 6:00,1/2/2019 8:00,0.634,0.6952,,,,,,,,,,
1/2/2019 7:00,1/2/2019 9:00,0.586,0.6862,,,,,,,,,,
1/2/2019 8:00,1/2/2019 10:00,0.525,0.6658,,,,,,,,,,
1/2/2019 9:00,1/2/2019 11:00,0.454,0.6589,,,,,,,,,,
1/2/2019 10:00,1/2/2019 12:00,0.437,0.6468,,,,,,,,,,
1/2/2019 11:00,1/2/2019 13:00,0.428,0.6358,,,,,,,,,,
1/2/2019 12:00,1/2/2019 14:00,0.395,0.6285,,,,,,,,,,
1/2/2019 13:00,1/2/2019 15:00,0.395,0.6175,,,,,,,,,,
