# Renewables.ninja Wind power (Point API) - 59.190, 7.650 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Oslo, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Oslo"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""59.19014"""," ""lon"": ""7.65044"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity_onshore,electricity_offshore,,,,,,,,,,
1/1/2019 0:00,1/1/2019 1:00,0.973,0.849,,,,,,,,,,
1/1/2019 1:00,1/1/2019 2:00,0.985,0.8252,,,,,,,,,,
1/1/2019 2:00,1/1/2019 3:00,0.983,0.8057,,,,,,,,,,
1/1/2019 3:00,1/1/2019 4:00,0.978,0.6724,,,,,,,,,,
1/1/2019 4:00,1/1/2019 5:00,0.978,0.5767,,,,,,,,,,
1/1/2019 5:00,1/1/2019 6:00,0.986,0.643,,,,,,,,,,
1/1/2019 6:00,1/1/2019 7:00,0.989,0.7494,,,,,,,,,,
1/1/2019 7:00,1/1/2019 8:00,0.988,0.8174,,,,,,,,,,
1/1/2019 8:00,1/1/2019 9:00,0.984,0.8402,,,,,,,,,,
1/1/2019 9:00,1/1/2019 10:00,0.982,0.8353,,,,,,,,,,
1/1/2019 10:00,1/1/2019 11:00,0.983,0.8156,,,,,,,,,,
1/1/2019 11:00,1/1/2019 12:00,0.98,0.803,,,,,,,,,,
1/1/2019 12:00,1/1/2019 13:00,0.967,0.7859,,,,,,,,,,
1/1/2019 13:00,1/1/2019 14:00,0.954,0.7619,,,,,,,,,,
1/1/2019 14:00,1/1/2019 15:00,0.927,0.764,,,,,,,,,,
1/1/2019 15:00,1/1/2019 16:00,0.941,0.8559,,,,,,,,,,
1/1/2019 16:00,1/1/2019 17:00,0.924,0.9237,,,,,,,,,,
1/1/2019 17:00,1/1/2019 18:00,0.905,0.9559,,,,,,,,,,
1/1/2019 18:00,1/1/2019 19:00,0.888,0.9738,,,,,,,,,,
1/1/2019 19:00,1/1/2019 20:00,0.883,0.9815,,,,,,,,,,
1/1/2019 20:00,1/1/2019 21:00,0.861,0.9863,,,,,,,,,,
1/1/2019 21:00,1/1/2019 22:00,0.852,0.99,,,,,,,,,,
1/1/2019 22:00,1/1/2019 23:00,0.817,0.9914,,,,,,,,,,
1/1/2019 23:00,1/2/2019 0:00,0.8,0.9892,,,,,,,,,,
1/2/2019 0:00,1/2/2019 1:00,0.777,0.9859,,,,,,,,,,
1/2/2019 1:00,1/2/2019 2:00,0.733,0.9831,,,,,,,,,,
1/2/2019 2:00,1/2/2019 3:00,0.722,0.9772,,,,,,,,,,
1/2/2019 3:00,1/2/2019 4:00,0.672,0.959,,,,,,,,,,
1/2/2019 4:00,1/2/2019 5:00,0.59,0.9288,,,,,,,,,,
1/2/2019 5:00,1/2/2019 6:00,0.503,0.9003,,,,,,,,,,
1/2/2019 6:00,1/2/2019 7:00,0.417,0.8722,,,,,,,,,,
1/2/2019 7:00,1/2/2019 8:00,0.343,0.8591,,,,,,,,,,
1/2/2019 8:00,1/2/2019 9:00,0.337,0.8524,,,,,,,,,,
1/2/2019 9:00,1/2/2019 10:00,0.3,0.8454,,,,,,,,,,
1/2/2019 10:00,1/2/2019 11:00,0.253,0.8322,,,,,,,,,,
1/2/2019 11:00,1/2/2019 12:00,0.243,0.8189,,,,,,,,,,
1/2/2019 12:00,1/2/2019 13:00,0.235,0.8114,,,,,,,,,,
1/2/2019 13:00,1/2/2019 14:00,0.234,0.8063,,,,,,,,,,
1/2/2019 14:00,1/2/2019 15:00,0.237,0.7931,,,,,,,,,,
1/2/2019 15:00,1/2/2019 16:00,0.224,0.7653,,,,,,,,,,
1/2/2019 16:00,1/2/2019 17:00,0.235,0.7347,,,,,,,,,,
1/2/2019 17:00,1/2/2019 18:00,0.251,0.712,,,,,,,,,,
1/2/2019 18:00,1/2/2019 19:00,0.276,0.668,,,,,,,,,,
1/2/2019 19:00,1/2/2019 20:00,0.291,0.6189,,,,,,,,,,
1/2/2019 20:00,1/2/2019 21:00,0.291,0.5881,,,,,,,,,,
1/2/2019 21:00,1/2/2019 22:00,0.308,0.6148,,,,,,,,,,
1/2/2019 22:00,1/2/2019 23:00,0.316,0.6459,,,,,,,,,,
1/2/2019 23:00,1/3/2019 0:00,0.31,0.6257,,,,,,,,,,
1/3/2019 0:00,1/3/2019 1:00,0.312,0.5766,,,,,,,,,,
1/3/2019 1:00,1/3/2019 2:00,0.319,0.5046,,,,,,,,,,
1/3/2019 2:00,1/3/2019 3:00,0.328,0.4421,,,,,,,,,,
1/3/2019 3:00,1/3/2019 4:00,0.331,0.4068,,,,,,,,,,
1/3/2019 4:00,1/3/2019 5:00,0.328,0.3695,,,,,,,,,,
1/3/2019 5:00,1/3/2019 6:00,0.323,0.3005,,,,,,,,,,
1/3/2019 6:00,1/3/2019 7:00,0.319,0.2412,,,,,,,,,,
1/3/2019 7:00,1/3/2019 8:00,0.315,0.2171,,,,,,,,,,
1/3/2019 8:00,1/3/2019 9:00,0.313,0.1965,,,,,,,,,,
1/3/2019 9:00,1/3/2019 10:00,0.28,0.1616,,,,,,,,,,
1/3/2019 10:00,1/3/2019 11:00,0.243,0.2015,,,,,,,,,,
1/3/2019 11:00,1/3/2019 12:00,0.241,0.3214,,,,,,,,,,
1/3/2019 12:00,1/3/2019 13:00,0.253,0.3923,,,,,,,,,,
1/3/2019 13:00,1/3/2019 14:00,0.266,0.3201,,,,,,,,,,
1/3/2019 14:00,1/3/2019 15:00,0.331,0.3894,,,,,,,,,,
1/3/2019 15:00,1/3/2019 16:00,0.352,0.5002,,,,,,,,,,
1/3/2019 16:00,1/3/2019 17:00,0.374,0.5446,,,,,,,,,,
1/3/2019 17:00,1/3/2019 18:00,0.392,0.5284,,,,,,,,,,
1/3/2019 18:00,1/3/2019 19:00,0.403,0.524,,,,,,,,,,
1/3/2019 19:00,1/3/2019 20:00,0.414,0.5106,,,,,,,,,,
1/3/2019 20:00,1/3/2019 21:00,0.431,0.4897,,,,,,,,,,
1/3/2019 21:00,1/3/2019 22:00,0.432,0.5061,,,,,,,,,,
