# Renewables.ninja Wind power (Point API) - 59.333, 14.794 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Stockholm, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Stockholm"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""59.33349"""," ""lon"": ""14.79368"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity_onshore,electricity_offshore,,,,,,,,,,
1/1/2019 0:00,1/1/2019 1:00,0.905,0.9827,,,,,,,,,,
1/1/2019 1:00,1/1/2019 2:00,0.851,0.958,,,,,,,,,,
1/1/2019 2:00,1/1/2019 3:00,0.813,0.9271,,,,,,,,,,
1/1/2019 3:00,1/1/2019 4:00,0.796,0.8647,,,,,,,,,,
1/1/2019 4:00,1/1/2019 5:00,0.77,0.8925,,,,,,,,,,
1/1/2019 5:00,1/1/2019 6:00,0.754,0.9053,,,,,,,,,,
1/1/2019 6:00,1/1/2019 7:00,0.695,0.8446,,,,,,,,,,
1/1/2019 7:00,1/1/2019 8:00,0.63,0.7893,,,,,,,,,,
1/1/2019 8:00,1/1/2019 9:00,0.587,0.6745,,,,,,,,,,
1/1/2019 9:00,1/1/2019 10:00,0.494,0.5878,,,,,,,,,,
1/1/2019 10:00,1/1/2019 11:00,0.45,0.521,,,,,,,,,,
1/1/2019 11:00,1/1/2019 12:00,0.45,0.47,,,,,,,,,,
1/1/2019 12:00,1/1/2019 13:00,0.464,0.4647,,,,,,,,,,
1/1/2019 13:00,1/1/2019 14:00,0.49,0.4766,,,,,,,,,,
1/1/2019 14:00,1/1/2019 15:00,0.523,0.5255,,,,,,,,,,
1/1/2019 15:00,1/1/2019 16:00,0.566,0.6139,,,,,,,,,,
1/1/2019 16:00,1/1/2019 17:00,0.674,0.728,,,,,,,,,,
1/1/2019 17:00,1/1/2019 18:00,0.796,0.8125,,,,,,,,,,
1/1/2019 18:00,1/1/2019 19:00,0.845,0.8661,,,,,,,,,,
1/1/2019 19:00,1/1/2019 20:00,0.876,0.8428,,,,,,,,,,
1/1/2019 20:00,1/1/2019 21:00,0.957,0.7914,,,,,,,,,,
1/1/2019 21:00,1/1/2019 22:00,0.953,0.7501,,,,,,,,,,
1/1/2019 22:00,1/1/2019 23:00,0.892,0.7414,,,,,,,,,,
1/1/2019 23:00,1/2/2019 0:00,0.9,0.6923,,,,,,,,,,
1/2/2019 0:00,1/2/2019 1:00,0.906,0.6697,,,,,,,,,,
1/2/2019 1:00,1/2/2019 2:00,0.886,0.7379,,,,,,,,,,
1/2/2019 2:00,1/2/2019 3:00,0.87,0.7811,,,,,,,,,,
1/2/2019 3:00,1/2/2019 4:00,0.851,0.7752,,,,,,,,,,
1/2/2019 4:00,1/2/2019 5:00,0.868,0.7515,,,,,,,,,,
1/2/2019 5:00,1/2/2019 6:00,0.831,0.7554,,,,,,,,,,
1/2/2019 6:00,1/2/2019 7:00,0.8,0.7849,,,,,,,,,,
1/2/2019 7:00,1/2/2019 8:00,0.724,0.7983,,,,,,,,,,
1/2/2019 8:00,1/2/2019 9:00,0.695,0.8365,,,,,,,,,,
1/2/2019 9:00,1/2/2019 10:00,0.678,0.8382,,,,,,,,,,
1/2/2019 10:00,1/2/2019 11:00,0.638,0.8378,,,,,,,,,,
1/2/2019 11:00,1/2/2019 12:00,0.606,0.854,,,,,,,,,,
1/2/2019 12:00,1/2/2019 13:00,0.565,0.8698,,,,,,,,,,
1/2/2019 13:00,1/2/2019 14:00,0.527,0.8957,,,,,,,,,,
1/2/2019 14:00,1/2/2019 15:00,0.494,0.9124,,,,,,,,,,
1/2/2019 15:00,1/2/2019 16:00,0.455,0.9215,,,,,,,,,,
1/2/2019 16:00,1/2/2019 17:00,0.382,0.9024,,,,,,,,,,
1/2/2019 17:00,1/2/2019 18:00,0.311,0.8885,,,,,,,,,,
1/2/2019 18:00,1/2/2019 19:00,0.256,0.8737,,,,,,,,,,
1/2/2019 19:00,1/2/2019 20:00,0.245,0.9111,,,,,,,,,,
1/2/2019 20:00,1/2/2019 21:00,0.231,0.8833,,,,,,,,,,
1/2/2019 21:00,1/2/2019 22:00,0.232,0.8448,,,,,,,,,,
1/2/2019 22:00,1/2/2019 23:00,0.388,0.8625,,,,,,,,,,
1/2/2019 23:00,1/3/2019 0:00,0.272,0.8551,,,,,,,,,,
1/3/2019 0:00,1/3/2019 1:00,0.294,0.8412,,,,,,,,,,
1/3/2019 1:00,1/3/2019 2:00,0.251,0.8417,,,,,,,,,,
1/3/2019 2:00,1/3/2019 3:00,0.192,0.8386,,,,,,,,,,
1/3/2019 3:00,1/3/2019 4:00,0.18,0.8214,,,,,,,,,,
1/3/2019 4:00,1/3/2019 5:00,0.158,0.8119,,,,,,,,,,
1/3/2019 5:00,1/3/2019 6:00,0.139,0.8033,,,,,,,,,,
1/3/2019 6:00,1/3/2019 7:00,0.124,0.7823,,,,,,,,,,
1/3/2019 7:00,1/3/2019 8:00,0.123,0.7534,,,,,,,,,,
1/3/2019 8:00,1/3/2019 9:00,0.087,0.6997,,,,,,,,,,
1/3/2019 9:00,1/3/2019 10:00,0.024,0.625,,,,,,,,,,
1/3/2019 10:00,1/3/2019 11:00,0.01,0.5388,,,,,,,,,,
1/3/2019 11:00,1/3/2019 12:00,0.022,0.4345,,,,,,,,,,
1/3/2019 12:00,1/3/2019 13:00,0.083,0.3639,,,,,,,,,,
1/3/2019 13:00,1/3/2019 14:00,0.148,0.3424,,,,,,,,,,
1/3/2019 14:00,1/3/2019 15:00,0.177,0.3079,,,,,,,,,,
1/3/2019 15:00,1/3/2019 16:00,0.168,0.2283,,,,,,,,,,
1/3/2019 16:00,1/3/2019 17:00,0.168,0.1349,,,,,,,,,,
1/3/2019 17:00,1/3/2019 18:00,0.167,0.0466,,,,,,,,,,
1/3/2019 18:00,1/3/2019 19:00,0.161,0.0199,,,,,,,,,,
1/3/2019 19:00,1/3/2019 20:00,0.205,0.0102,,,,,,,,,,
1/3/2019 20:00,1/3/2019 21:00,0.164,0.0244,,,,,,,,,,
1/3/2019 21:00,1/3/2019 22:00,0.153,0.0729,,,,,,,,,,
1/3/2019 22:00,1/3/2019 23:00,0.157,0.1595,,,,,,,,,,
1/3/2019 23:00,1/4/2019 0:00,0.168,0.2911,,,,,,,,,,
1/4/2019 0:00,1/4/2019 1:00,0.175,0.4323,,,,,,,,,,
1/4/2019 1:00,1/4/2019 2:00,0.193,0.5151,,,,,,,,,,
1/4/2019 2:00,1/4/2019 3:00,0.187,0.57,,,,,,,,,,
1/4/2019 3:00,1/4/2019 4:00,0.202,0.6162,,,,,,,,,,
1/4/2019 4:00,1/4/2019 5:00,0.223,0.6252,,,,,,,,,,
1/4/2019 5:00,1/4/2019 6:00,0.277,0.6491,,,,,,,,,,
1/4/2019 6:00,1/4/2019 7:00,0.284,0.6778,,,,,,,,,,
1/4/2019 7:00,1/4/2019 8:00,0.281,0.6702,,,,,,,,,,
1/4/2019 8:00,1/4/2019 9:00,0.278,0.6505,,,,,,,,,,
1/4/2019 9:00,1/4/2019 10:00,0.264,0.6115,,,,,,,,,,
1/4/2019 10:00,1/4/2019 11:00,0.257,0.5838,,,,,,,,,,
1/4/2019 11:00,1/4/2019 12:00,0.376,0.5669,,,,,,,,,,
1/4/2019 12:00,1/4/2019 13:00,0.391,0.552,,,,,,,,,,
1/4/2019 13:00,1/4/2019 14:00,0.37,0.6417,,,,,,,,,,
1/4/2019 14:00,1/4/2019 15:00,0.382,0.7214,,,,,,,,,,
1/4/2019 15:00,1/4/2019 16:00,0.409,0.7721,,,,,,,,,,
1/4/2019 16:00,1/4/2019 17:00,0.334,0.754,,,,,,,,,,
1/4/2019 17:00,1/4/2019 18:00,0.25,0.7442,,,,,,,,,,
1/4/2019 18:00,1/4/2019 19:00,0.285,0.7358,,,,,,,,,,
1/4/2019 19:00,1/4/2019 20:00,0.23,0.6803,,,,,,,,,,
1/4/2019 20:00,1/4/2019 21:00,0.176,0.6319,,,,,,,,,,
1/4/2019 21:00,1/4/2019 22:00,0.17,0.6195,,,,,,,,,,
1/4/2019 22:00,1/4/2019 23:00,0.214,0.6043,,,,,,,,,,
1/4/2019 23:00,1/5/2019 0:00,0.228,0.5889,,,,,,,,,,
1/5/2019 0:00,1/5/2019 1:00,0.299,0.6121,,,,,,,,,,
1/5/2019 1:00,1/5/2019 2:00,0.314,0.6655,,,,,,,,,,
1/5/2019 2:00,1/5/2019 3:00,0.329,0.6751,,,,,,,,,,
1/5/2019 3:00,1/5/2019 4:00,0.316,0.6248,,,,,,,,,,
1/5/2019 4:00,1/5/2019 5:00,0.279,0.5832,,,,,,,,,,
1/5/2019 5:00,1/5/2019 6:00,0.244,0.5239,,,,,,,,,,
1/5/2019 6:00,1/5/2019 7:00,0.212,0.4941,,,,,,,,,,
1/5/2019 7:00,1/5/2019 8:00,0.209,0.4622,,,,,,,,,,
1/5/2019 8:00,1/5/2019 9:00,0.155,0.429,,,,,,,,,,
1/5/2019 9:00,1/5/2019 10:00,0.109,0.4363,,,,,,,,,,
1/5/2019 10:00,1/5/2019 11:00,0.063,0.441,,,,,,,,,,
1/5/2019 11:00,1/5/2019 12:00,0.041,0.4362,,,,,,,,,,
1/5/2019 12:00,1/5/2019 13:00,0.037,0.4007,,,,,,,,,,
1/5/2019 13:00,1/5/2019 14:00,0.045,0.3957,,,,,,,,,,
1/5/2019 14:00,1/5/2019 15:00,0.053,0.4614,,,,,,,,,,
1/5/2019 15:00,1/5/2019 16:00,0.059,0.5037,,,,,,,,,,
1/5/2019 16:00,1/5/2019 17:00,0.058,0.4948,,,,,,,,,,
1/5/2019 17:00,1/5/2019 18:00,0.063,0.4503,,,,,,,,,,
1/5/2019 18:00,1/5/2019 19:00,0.072,0.3858,,,,,,,,,,
1/5/2019 19:00,1/5/2019 20:00,0.085,0.3061,,,,,,,,,,
1/5/2019 20:00,1/5/2019 21:00,0.098,0.2359,,,,,,,,,,
1/5/2019 21:00,1/5/2019 22:00,0.085,0.1686,,,,,,,,,,
1/5/2019 22:00,1/5/2019 23:00,0.077,0.1007,,,,,,,,,,
1/5/2019 23:00,1/6/2019 0:00,0.068,0.0599,,,,,,,,,,
1/6/2019 0:00,1/6/2019 1:00,0.064,0.0368,,,,,,,,,,
1/6/2019 1:00,1/6/2019 2:00,0.064,0.0214,,,,,,,,,,
1/6/2019 2:00,1/6/2019 3:00,0.068,0.0104,,,,,,,,,,
1/6/2019 3:00,1/6/2019 4:00,0.066,0.0032,,,,,,,,,,
1/6/2019 4:00,1/6/2019 5:00,0.064,0.0003,,,,,,,,,,
1/6/2019 5:00,1/6/2019 6:00,0.058,0.0001,,,,,,,,,,
1/6/2019 6:00,1/6/2019 7:00,0.052,0.0003,,,,,,,,,,
1/6/2019 7:00,1/6/2019 8:00,0.058,0.0002,,,,,,,,,,
